L5	S1	S2	S3	S4	S5	S6
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313	1.381107420883469e-12	0.9999999999986189	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0.00012858767799119457	0.025848027593990963	6.355838799877423e-05	0.9739598263400191	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella	0.0	2.859923600634718e-05	0.9999648671978473	0.0	0.0	6.533566146297813e-06
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger	0.9238459027996043	0.060060890016256877	0.016093207184138716	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA6398	0.0031353038387491074	0.8175536769568408	0.17723293959068012	0.002078079613729926	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola	0.8051578972955834	0.19143345690369964	0.0034086458007170275	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;UBA1820;?	1.3438806119699048e-05	0.9999865611938803	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_T	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;BX12	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;1XD42-69	0.2926456547558733	0.7073543452441267	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Evtepia	0.6875277481586215	0.30957492325152386	0.0028973285898547508	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas	0.8004776677179126	0.0	0.183724533758544	0.0005407501307599661	0.015257048392783449	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Fimicola	0.0	0.0	0.0	0.9130127006338666	0.0	0.08698729936613345
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;?	0.17775991345142741	0.8222400865485726	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Scatavimonas	0.9817932901581559	0.0	0.0	0.0	0.0	0.01820670984184423
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium_P	0.0	0.1189760257819568	1.3501246269646103e-15	0.0	2.59283752557108e-05	0.8809980458427862
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;?	0.9311084821175256	0.0	0.0	0.06889151759310627	0.0	2.893681089221307e-10
Bacteria;Firmicutes;Bacilli;RF39;UBA660;Aphodocola	0.06641136289349102	0.933588637106509	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;UMGS995	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;HGM10766	0.3197331896069663	0.6802668103930337	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-269	0.550487790118135	0.4495122098818649	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QAND01;UMGS1975	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcus_B	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Varibaculum	0.1419706379302741	0.0	0.0	0.0	0.21056894358428807	0.6474604184854378
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;?	0.2118033048946949	0.7881966951053051	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-977;UBA11549	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;51-20	0.7025597691994648	0.2974399566684686	0.0	2.74132066587357e-07	0.0	0.0
Bacteria;Verrucomicrobiota;Kiritimatiellae;RFP12;UBA1067;RUG572	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS687	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Avimicrobium	0.8457672188355772	7.67069927162518e-11	0.05673473307055061	0.09749804801716516	0.0	0.0
Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila	0.46619684649246335	0.01989903013955291	0.06225221436426388	0.44766830159228954	0.003983607407241888	4.188319735579631e-12
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1750;Spyradocola	0.23261778012876627	0.7673822198712337	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A	0.739394787396533	0.22760131326019495	0.033003899343272164	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA9506;UBA9506	0.5185386203769621	0.4814613796230378	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-762	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UBA11512	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RFN20;CAG-449;CAG-449	0.025363831612917387	0.9746361683870826	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E	0.9450004832117023	0.05499951678829782	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;UBA1390;Faecimorpha	0.06223000631681266	0.9377699936831873	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;QAKL01	0.3509626615150089	0.5756399713573693	0.07339736712762171	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	8.84555069727872e-09	0.0	0.0009099560599334104	0.999090027568171	7.52634479564097e-09	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;?	0.858594132223743	0.14140586777625705	0.0	0.0	0.0	0.0
