L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Scatavimonas	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter	0.0	0.0	2.2569719991462677e-06	0.0888693874715723	0.0	0.0	0.9111283555564286	0.0
Bacteria;Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium_P	0.0	0.0	0.07562154741597787	0.0	0.0	0.0	0.0	0.9243784525840222
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;?	0.0	0.0	0.0	0.010859390085065196	0.0	0.0	0.9891406099149348	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;Aphodocola	0.0	0.0	0.9410902480566024	0.05890975194339763	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;UMGS995	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;HGM10766	0.0	0.0	0.7076300733670262	0.29236992663297373	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-269	0.0	0.0	0.43786091624772394	0.5621390837522761	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QAND01;UMGS1975	0.0	0.0	0.011151991468895686	0.9079748430423236	0.0	0.0	0.08087316548878076	0.0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcus_B	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Varibaculum	0.1634988507174295	0.0	0.0	0.0	0.0	0.0	0.19077631173229173	0.6457248375502788
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;?	0.0	0.0	0.7370921718955151	0.07093749314832239	0.0	0.0	0.19197033495616245	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-977;UBA11549	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;51-20	0.0	3.2252372924957064e-10	0.36076808298974367	0.6392318795718688	3.711586387510363e-08	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Kiritimatiellae;RFP12;UBA1067;RUG572	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS687	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Avimicrobium	0.0	0.01659436893604318	0.11199435323536859	0.7715558637596803	0.09985541406890788	0.0	0.0	0.0
Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila	1.7753363640457625e-14	0.05252747171714801	0.05577119434559009	0.35379044943768495	0.3672813862179739	0.0	0.17062949828158527	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1750;Spyradocola	0.0	0.0	0.7496037414369695	0.0	0.0	0.0	0.2503962585630305	0.0
