	model_fit
Mong.B58	0.6908403848170525
Mong.B59	0.8501613071926392
Mong.B6	0.7674046280646534
Mong.B62	0.8846721794220447
Mong.B64	0.883101189876551
Mong.B65	0.7731007281409297
Mong.B72	0.75794474015598
Mong.B73	0.7043781641808566
Mong.B74	0.7263303073990706
Mong.B77	0.6890914224889456
Mong.B82	0.7924714558603565
Mong.B89	0.8416555808281867
Mong.B91	0.8512478651081747
Mong.B93	0.5618105071635621
Mong.B94	0.6789872663633839
Mong.B95	0.8837170442925565
Mong.B97	0.8033272449449933
Mong.C1	0.6250755367014793
Mong.C10	0.8594520859161371
Mong.C102	0.767015749518342
Mong.C103	0.8062225964971628
Mong.C104	0.8465308990830531
Mong.C108	0.7723486011822212
Mong.C11	0.9656588017830317
Mong.C111	0.694118921465427
Mong.C112	0.5311208703835669
Mong.C124	0.6273484234291146
Mong.C125	0.8415152165357386
Mong.C126	0.5615145609319993
Mong.C127	0.974712677240793
Mong.C129	0.8537338040385972
Mong.C130	0.8276369779276186
Mong.C134	0.8543269010322474
Mong.C135	0.7901622154278257
Mong.C137	0.74025725615332
Mong.C142	0.6717846959969123
Mong.C149	0.7341059342882233
Mong.C15	0.8126320468555295
Mong.C151	0.7877286042945736
Mong.C152	0.9786491456307641
Mong.C162	0.682914402696687
Mong.C163	0.8564019301415907
Mong.C165	0.8155940299150086
Mong.C19	0.8266412583846146
Mong.C31	0.973142939651554
Mong.C34	0.9023779217519721
Mong.C36	0.8946135457922101
Mong.C37	0.8030211005151296
Mong.C38	0.7777293113677216
Mong.C40	0.7717807031410374
Mong.C41	0.8902614706119093
Mong.C43	0.5575745792466162
Mong.C46	0.5055856995286953
Mong.C49	0.9521739254392245
Mong.C50	0.8511648416369005
Mong.C54	0.8250108651596901
Mong.C55	0.5152312641689063
Mong.C57	0.716479665008463
Mong.C58	0.46799468097284563
Mong.C59	0.8768328545107796
Mong.C6	0.799350425269569
Mong.C62	0.7017317767601413
Mong.C64	0.8775265156655631
Mong.C65	0.7435017279126289
Mong.C72	0.6508286594574932
Mong.C73	0.7201864665948206
Mong.C74	0.760138380352413
Mong.C77	0.7653999537854457
Mong.C82	0.7369610920925103
Mong.C89	0.7117426450858603
Mong.C91	0.8474022827335048
Mong.C93	0.7974504145320153
Mong.C94	0.6796074391767752
Mong.C95	0.7673948681221161
X126.CTR.1M	0.8810041980192247
X126.CTR.6M	0.9328530083701178
X128.CTR.1M	0.9513942566325453
X128.CTR.6M	0.9706515518996043
X13.CTR.1M	0.8610045055187457
X135.CTR.1M	0.6403917823736429
X142.CTR.6M	0.8175785499456707
X15.ABX.1M	0.36510891760062975
X15.ABX.6M	0.8969586488994523
X165.ABX.6M	0.9182065396528194
X179.CTR.6M	0.7970692573551279
X184.CTR.1M	0.9850918666239222
X184.CTR.6M	0.9555522910752039
X21.CTR.6M	0.9486054751669629
