L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA6398	0.0	0.0	0.0	0.005096999458275433	0.0	0.00839949115991622	7.707868783035434e-11
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873	0.0	0.0	0.0	0.02253303849519048	0.0	0.010637854816052693	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola	0.0	0.0	0.007582932384591006	0.004444843703535985	0.0	0.0019046350256664518	4.2999936071465836e-10
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;UBA1820;?	0.0	0.0	0.0	0.00013064570900989174	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_T	0.0	0.0	0.0	9.351919970863981e-05	0.0026169572103586338	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;BX12	0.0	2.150493232631262e-06	1.0855839891635834e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;1XD42-69	0.0	0.0	0.0	0.0010493952866640697	0.0	0.00011056645571069539	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Evtepia	0.0	0.0	0.02250519864500295	0.015420844873228945	0.0	0.0008397966356552	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas	0.0	0.0	0.0038701008854059573	0.00015427524751531157	0.00073009146856299	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Fimicola	0.0	0.0	0.00010189665531558552	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;?	0.0	0.0	0.0004981332561965972	0.0024031199103925903	0.0	0.0033198454819711775	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Scatavimonas	0.010539980393560987	0.0	0.029154636486598384	8.392772552719832e-07	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter	0.0	0.0	0.013588813148554965	0.00882084910953374	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium_P	6.456122765186592e-09	0.24062447986053312	0.0	0.0	0.0	0.027246364718806898	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;?	6.986048165210238e-06	0.0	0.0004618057487269749	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;Aphodocola	0.0	0.0	0.0	0.02282097637892714	0.0	0.003846434879193632	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;UMGS995	0.0	0.0	0.0	0.0035958067726133383	0.0	0.003126526033270141	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;HGM10766	0.0	0.0	0.000115298996724363	0.0021883944571386826	6.2474876793007874e-09	4.405273499510027e-05	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-269	0.0	0.0	0.018067178061780383	0.14341967438338632	0.0	0.0009640818755381639	2.6192166459609775e-12
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QAND01;UMGS1975	0.0	0.0	0.0022581954879637867	0.0007453043783388423	0.0	0.0	1.3178019681365885e-11
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcus_B	6.291036646535609e-05	0.0	0.0	0.0	1.6882600974533702e-13	0.0	0.0
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Varibaculum	2.78557471409027e-07	0.010195335073007026	0.000180525312305475	0.00024850842696966425	0.004346651712330203	0.004017736218848956	5.374295686951128e-08
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;?	0.0	0.0	0.00037671147191884846	0.008725280989524523	0.0	0.0019395171527056244	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-977;UBA11549	0.0	0.0	0.0	0.0053071303654355076	0.0	0.0026449419042735576	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;51-20	0.0	0.0	0.0	0.051551292709325396	0.0	0.00017014053746019876	4.260827009135448e-09
Bacteria;Verrucomicrobiota;Kiritimatiellae;RFP12;UBA1067;RUG572	0.0	0.0	0.0	0.0	0.0	0.016948303362532315	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS687	0.0	0.0	0.0	0.0037227174832344164	0.0	5.662845738200452e-07	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Avimicrobium	0.0	0.0	0.0014003769280008915	0.002696656958158822	0.0	0.0003805560313907631	0.0008781754688364832
Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila	5.545113874570135e-13	0.0	0.012822231377988958	0.014002134056691868	0.001046371975815152	0.0010842108583821563	0.025080033477576848
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1750;Spyradocola	0.0	0.0	0.0	0.00501167346904375	0.0	3.4506089755482065e-12	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A	0.0	0.0	0.019946297363892886	0.00863892366038103	0.0	0.0020333242297122696	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA9506;UBA9506	0.0	0.0	4.362484197748723e-12	0.0006201153435157767	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-762	0.0	0.0	0.0	0.005997403571526412	0.0	4.648464687422573e-12	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	0.0	0.0	0.008108750495384238	0.004097093751367645	0.0	0.0	2.0147503674087212e-14
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UBA11512	0.0	0.0	0.0	0.0031851518666960034	0.0	0.00019957835659308888	0.0
Bacteria;Firmicutes;Bacilli;RFN20;CAG-449;CAG-449	0.0	0.0	0.0	0.005557177830823764	0.0	0.001086810938375343	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E	0.0	0.0	0.8880589868298159	0.30131875755763793	0.0	5.435527798360365e-09	1.0482204178424393e-11
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;UBA1390;Faecimorpha	0.0	0.0	0.0	0.0006614554646394294	0.0	0.0003684531013161012	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;QAKL01	0.0	0.0	1.1821821617257436e-14	0.0006197710691297378	0.0	9.499519482874992e-05	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.048186938230555115	0.0	1.1174975318560855e-05	0.001689651520336512	1.9414955215810022e-05	0.0	3.945841844553773
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;?	0.0	0.0	0.0004856091804297743	0.0003225821939398384	0.0	0.0008854535572838583	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	0.0	0.0008522255147086206	0.0	1.01331892775723e-05	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;CAIFEU01	0.0	0.0	0.0	1.3388333779008377e-05	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UMGS1590	0.0	0.0	0.0005663748150123775	0.0016457174560125533	0.00011295584694984693	0.00019696712019260133	0.0
Bacteria;?;?;?;?;?	0.0	0.0	0.0	4.150200589285013e-05	0.0	0.00022809940261167588	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1754	0.0	0.0	0.0	0.00013091213412510993	0.0	0.0	0.0
