L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Firmicutes;Bacilli;RF39;UBA660;UMGS995	0.0	0.0	0.0	0.534904604762537	0.0	0.4650953952374631	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;HGM10766	0.0	0.0	0.049110372516031085	0.9321231758765945	2.6610504508834552e-06	0.018763790556923645	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-269	0.0	0.0	0.11121621514236109	0.8828491813899938	0.0	0.005934603451521945	1.612312454139527e-11
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QAND01;UMGS1975	0.0	0.0	0.7518546957139426	0.24814529989850265	0.0	0.0	4.387554589695727e-09
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcus_B	0.9999999973164039	0.0	0.0	0.0	2.6835960236417708e-09	0.0	0.0
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Varibaculum	1.4669343577524719e-05	0.5369049062565604	0.009506791604811883	0.01308690619098605	0.22890259255110967	0.21158130385100288	2.8302019515151485e-06
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;?	0.0	0.0	0.034117750659395034	0.7902253672218542	0.0	0.17565688211875086	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-977;UBA11549	0.0	0.0	0.0	0.6673896042986635	0.0	0.33261039570133655	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;51-20	0.0	0.0	0.0	0.9967103621537555	0.0	0.0032895554659546473	8.23802897687892e-08
Bacteria;Verrucomicrobiota;Kiritimatiellae;RFP12;UBA1067;RUG572	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS687	0.0	0.0	0.0	0.9998479072213844	0.0	0.0001520927786155275	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Avimicrobium	0.0	0.0	0.26147092468992494	0.503505430804169	0.0	0.07105539618259663	0.1639682483233096
Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila	1.0262081516992505e-11	0.0	0.2372950071126579	0.25913091119840714	0.01936471415340234	0.020064980561266883	0.4641443869640037
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1750;Spyradocola	0.0	0.0	0.0	0.9999999993114858	0.0	6.885143245038278e-10	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A	0.0	0.0	0.6514449722687626	0.28214677048565334	0.0	0.066408257245584	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA9506;UBA9506	0.0	0.0	7.034956016933083e-09	0.9999999929650439	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-762	0.0	0.0	0.0	0.9999999992249204	0.0	7.750795203926143e-10	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	0.0	0.0	0.6643334399034861	0.3356665600948633	0.0	0.0	1.650644008456477e-12
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UBA11512	0.0	0.0	0.0	0.9410356680069025	0.0	0.058964331993097446	0.0
Bacteria;Firmicutes;Bacilli;RFN20;CAG-449;CAG-449	0.0	0.0	0.0	0.8364219181986439	0.0	0.16357808180135613	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E	0.0	0.0	0.7466584833575047	0.2533415120636219	0.0	4.570060100015697e-09	8.813183347252045e-12
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;UBA1390;Faecimorpha	0.0	0.0	0.0	0.6422467843305516	0.0	0.35775321566944834	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;QAKL01	0.0	0.0	1.6539423043822476e-11	0.8670961408938046	0.0	0.13290385908965605	0.0
